model_name,label_name,num,is_loose,acc,f1
parsing,atis capacity,8,True,0.0,0.0
parsing,atis capacity,8,False,0.0,0.0
gpt3,to contuntry,2,True,0.0,0.0
parsing,to contuntry,2,True,0.0,0.0
pre-train,to contuntry,2,True,0.0,0.0
gpt3,to contuntry,2,False,0.0,0.0
parsing,to contuntry,2,False,0.0,0.0
pre-train,to contuntry,2,False,0.0,0.0
gpt3,relative to today,2,True,0.0,0.0
parsing,relative to today,2,True,0.0,0.0
gpt3,relative to today,2,False,0.0,0.0
parsing,relative to today,2,False,0.0,0.0
gpt3,fare basis code,12,True,0.0,0.0
parsing,fare basis code,10,True,0.08,0.1142857142857143
pre-train,fare basis code,22,True,0.04132231404958678,0.056818181818181816
gpt3,fare basis code,12,False,0.0,0.0
parsing,fare basis code,10,False,0.0,0.05714285714285715
pre-train,fare basis code,22,False,0.04132231404958678,0.056818181818181816
gpt3,connect,10,True,0.0,0.0
parsing,connect,52,True,0.002958579881656805,0.005494505494505494
pre-train,connect,10,True,0.04,0.06666666666666668
gpt3,connect,10,False,0.0,0.0
parsing,connect,52,False,0.002958579881656805,0.005494505494505494
pre-train,connect,10,False,0.04,0.06666666666666668
gpt3,airline name,96,True,0.002170138888888889,0.003930817610062893
parsing,airline name,116,True,0.0035671819262782403,0.005591798695246971
pre-train,airline name,142,True,0.009323546915294585,0.01121986154213416
gpt3,airline name,96,False,0.002170138888888889,0.003930817610062893
parsing,airline name,116,False,0.00029726516052318666,0.0030288909599254427
pre-train,airline name,142,False,0.00614957349732196,0.009310097875387922
gpt3,class type,22,True,0.008264462809917356,0.015151515151515154
parsing,class type,32,True,0.0078125,0.013157894736842106
pre-train,class type,32,True,0.0234375,0.03409090909090909
gpt3,class type,22,False,0.008264462809917356,0.015151515151515154
parsing,class type,32,False,0.00390625,0.009868421052631578
pre-train,class type,32,False,0.00390625,0.019886363636363636
parsing,fare amount,66,True,0.0,0.0
parsing,fare amount,66,False,0.0,0.0
gpt3,to city,848,True,0.001207057671769313,0.0015968563270832722
parsing,to city,856,True,0.0013483710367717706,0.001627934566257596
pre-train,to city,848,True,0.001969117123531506,0.00212986137851367
gpt3,to city,848,False,0.001034620861516554,0.0014827951608630385
parsing,to city,856,False,0.0,0.000813967283128798
pre-train,to city,848,False,0.001718805624777501,0.0019944888332691564
gpt3,state name,2,True,0.0,0.0
parsing,state name,98,True,0.0,0.0
pre-train,state name,2,True,0.0,0.0
gpt3,state name,2,False,0.0,0.0
parsing,state name,98,False,0.0,0.0
pre-train,state name,2,False,0.0,0.0
gpt3,to state code,28,True,0.0,0.0
parsing,to state code,30,True,0.0,0.0
pre-train,to state code,28,True,0.05102040816326531,0.05952380952380952
gpt3,to state code,28,False,0.0,0.0
parsing,to state code,30,False,0.0,0.0
