model_name,label_name,key_counter,exp_counter,cor,par,inc,mis,spu
gpt3,atis capacity,0,500,0,0,0,0,0
gpt3,to contuntry,1,500,0,0,0,1,0
gpt3,relative to today,1,500,0,0,0,0,1
gpt3,fare basis code,6,500,0,0,0,6,0
gpt3,stop location,0,500,0,0,0,0,0
gpt3,connect,5,500,0,0,0,5,0
gpt3,airline name,48,500,5,0,0,43,0
gpt3,class type,11,500,1,0,0,10,0
gpt3,fare amount,0,500,0,0,0,0,0
gpt3,to city,424,500,186,31,0,201,6
gpt3,state name,1,500,0,0,0,1,0
gpt3,to state code,14,500,0,0,0,14,0
gpt3,alternative,1,500,0,0,0,1,0
gpt3,arrive time end,1,500,0,0,0,1,0
gpt3,relative cost,36,500,17,0,0,8,11
gpt3,atis flight,0,500,0,0,0,0,0
gpt3,aircraft code,11,500,0,0,0,11,0
gpt3,flight stop,8,500,0,0,0,8,0
gpt3,relative time,0,500,0,0,0,0,0
gpt3,airport code,4,500,0,0,0,4,0
gpt3,atis meal,0,500,0,0,0,0,0
gpt3,to airport,5,500,0,0,0,4,1
gpt3,economy,0,500,0,0,0,0,0
gpt3,stop city,13,500,0,0,0,13,0
gpt3,airport name,14,500,0,0,0,14,0
gpt3,meal code,1,500,0,0,0,1,0
gpt3,ground fare,0,500,0,0,0,0,0
gpt3,arrive time start,0,500,0,0,0,0,0
gpt3,superlative,18,500,0,0,0,18,0
gpt3,O,0,500,0,0,0,0,0
gpt3,restriction code,2,500,0,0,0,2,0
gpt3,stop state,0,500,0,0,0,0,0
gpt3,at time,3,500,0,0,0,0,3
gpt3,meal,7,500,0,0,0,6,1
gpt3,ground service,0,500,0,0,0,0,0
gpt3,from state,26,500,0,0,0,21,5
gpt3,atis restriction,0,500,0,0,0,0,0
gpt3,state code,3,500,0,0,0,1,2
gpt3,atis airfare,0,500,0,0,0,0,0
gpt3,atis abbreviation,0,500,0,0,0,0,0
gpt3,number of days,0,500,0,0,0,0,0
gpt3,atis airline,0,500,0,0,0,0,0
gpt3,depart time,123,500,43,8,1,60,11
gpt3,days code,1,500,0,0,0,1,0
gpt3,arrive date,20,500,2,2,0,10,6
gpt3,in city,30,500,3,0,0,27,0
gpt3,atis quantity,0,500,0,0,0,0,0
gpt3,depart date,171,500,53,1,7,98,12
gpt3,from airport,9,500,0,0,0,9,0
gpt3,flight time,5,500,0,0,0,1,4
gpt3,flight days,8,500,0,0,0,5,3
gpt3,period of day,2,500,0,0,0,2,0
gpt3,return time,0,500,0,0,0,0,0
gpt3,atis airport,0,500,0,0,0,0,0
gpt3,atis aircraft,0,500,0,0,0,0,0
gpt3,to state,24,500,0,0,0,20,4
gpt3,airline code,25,500,1,2,0,12,10
gpt3,flight number,10,500,2,0,0,7,1
gpt3,return date,8,500,0,0,0,7,1
gpt3,meal description,8,500,0,0,0,8,0
gpt3,atis cheapest,0,500,0,0,0,0,0
gpt3,arrive time,32,500,4,0,0,26,2
gpt3,atis distance,0,500,0,0,0,0,0
gpt3,from location,20,500,0,0,0,18,2
gpt3,month,0,500,0,0,0,0,0
gpt3,day name,2,500,0,0,0,2,0
gpt3,round trip,37,500,0,0,11,26,0
gpt3,from city,425,500,187,31,1,202,4
gpt3,transport type,8,500,0,0,0,8,0
parsing,atis capacity,4,500,0,0,0,0,4
parsing,to contuntry,1,500,0,0,0,1,0
parsing,relative to today,1,500,0,0,0,0,1
parsing,fare basis code,5,500,0,2,0,3,0
parsing,stop location,0,500,0,0,0,0,0
parsing,connect,26,500,2,0,0,3,21
parsing,airline name,58,500,1,11,4,29,13
